Time
375
518
485
357
374
493
354
378
340
366
400
343
388
798
362
505
676
498
731
575
406
368
394
437
398
527
281
314
541
568
398
452
300
399
476
339
383
386
547
730
441
433
508
582
553
452
450
377
308
434
487
570
466
722
387
474
410
357
634
447
442
359
830
491
475
625
492
442
522
562
663
491
468
465
429
376
469
373
875
588
478
430
670
388
675
424
409
728
743
382
526
521
445
669
423
392
392
385
370
430
556
