Time
277
283
279
172
166
320
181
236
222
208
194
187
249
197
278
218
164
169
183
190
290
292
171
340
167
244
231
178
178
211
307
183
218
197
185
219
214
185
355
214
224
177
222
240
344
193
157
264
192
153
176
173
186
198
189
186
188
223
250
194
190
217
300
174
194
355
200
281
359
198
299
235
208
325
380
299
260
223
223
233
206
319
251
211
250
226
308
223
263
190
216
266
374
205
196
346
221
227
278
464
426
