Time
287
354
327
341
387
276
323
289
322
287
333
420
254
375
328
451
289
311
310
316
265
233
291
264
244
241
223
262
263
268
222
285
250
285
320
323
303
298
318
400
254
291
300
394
233
319
267
249
210
256
321
224
286
279
288
278
238
309
359
264
290
303
247
319
279
308
311
273
346
266
266
239
436
319
317
302
293
284
328
241
328
330
245
322
315
333
345
333
327
300
324
341
427
263
359
294
272
351
321
310
297
